name,lat,lng,attr,distance(km),cool_time(h),cool_time(hms)
金山(福岡),33.559371,130.361561,eco,1424.826,20.48392,20時間29分2秒
茶山,33.566065,130.36543,cool,1424.021,20.48357,20時間29分1秒
別府(福岡),33.57417,130.369629,cool,1423.076,20.48316,20時間28分59秒
六本松,33.577678,130.377287,cool,1422.327,20.48283,20時間28分58秒
桜坂,33.577292,130.386819,heat,1421.806,20.48260,20時間28分57秒
薬院大通,33.580406,130.396158,heat,1420.993,20.48224,20時間28分56秒
渡辺通,33.583969,130.404843,heat,1420.180,20.48187,20時間28分55秒
天神南,33.588197,130.401727,heat,1419.995,20.48179,20時間28分54秒
櫛田神社前,33.591951,130.410759,heat,1419.145,20.48140,20時間28分53秒
平和通,33.883159,130.881246,eco,1366.666,20.44946,20時間26分58秒
旦過,33.880623,130.880194,eco,1366.947,20.44967,20時間26分59秒
香春口三萩野,33.873174,130.880563,eco,1367.573,20.45015,20時間27分1秒
片野,33.865511,130.880039,eco,1368.270,20.45067,20時間27分2秒
城野(北九州高速鉄道),33.858398,130.879601,heat,1368.914,20.45115,20時間27分4秒
北方(福岡),33.84908,130.878039,heat,1369.814,20.45182,20時間27分7秒
競馬場前(福岡),33.842878,130.876526,heat,1370.441,20.45228,20時間27分8秒
守恒,33.836648,130.87287,heat,1371.193,20.45283,20時間27分10秒
徳力公団前,33.830421,130.867554,heat,1372.041,20.45345,20時間27分12秒
徳力嵐山口,33.824744,130.863694,heat,1372.757,20.45397,20時間27分14秒
志井(北九州高速鉄道),33.822556,130.871345,cool,1372.508,20.45379,20時間27分14秒
企救丘,33.819708,130.877532,cool,1372.401,20.45371,20時間27分13秒
西黒崎,33.866309,130.761418,eco,1375.045,20.45561,20時間27分20秒
熊西,33.866101,130.757902,eco,1375.266,20.45576,20時間27分21秒
萩原(福岡),33.861173,130.749186,eco,1376.198,20.45642,20時間27分23秒
穴生,33.857352,130.744942,eco,1376.774,20.45682,20時間27分25秒
森下(福岡),33.853885,130.741092,eco,1377.298,20.45719,20時間27分26秒
今池(福岡),33.845258,130.739582,eco,1378.132,20.45777,20時間27分28秒
永犬丸,33.838865,130.738071,heat,1378.774,20.45821,20時間27分30秒
三ヶ森,33.834776,130.735982,heat,1379.249,20.45854,20時間27分31秒
西山(福岡),33.829393,130.732274,heat,1379.930,20.45900,20時間27分32秒
通谷,33.822994,130.726978,heat,1380.791,20.45959,20時間27分35秒
